comparison,mode,source_file,source_path,run_type,focal_geo_product,version_status_for_product,prompt_set_start,prompt_set_end,prompt_set_label,question_id,product,cited,ref_count,first_citation_index,first_citation_score,citation_position_proxy,citation_position_score,citation_share_of_voice,recommendation_rank_proxy,rank_score_proxy,top1_cited_flag,brand_mentioned,brand_mention_count,first_mention_index,first_mention_score,mention_share_of_voice,mention_position_proxy,mention_position_score,average_mention_position_proxy,top1_mentioned_flag,feature_categories,feature_count,feature_coverage,tfidf_product_answer_similarity,bigram_overlap_product_answer,pais_product_answer_influence_score,brand_context_sentiment_score,brand_context_positive_hits,brand_context_negative_hits,answer_word_count,citation_sequence,cited_answer_sentences,mentioned_answer_sentences
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,geo_rewrite_2023_2024,1,5,1-5,3,Away,1,2,1.0,1.0,1,1.0,0.4,1,1.0,1,1,1,1.0,1.0,0.14285714285714285,1,1.0,1,1,dimensions;handle;weight;wheels_mobility,4,0.21052631578947367,0.06862098031586526,0.0625,0.4318711258877345,1.0,7,0,179,Away > Away > Rimowa > July > BR,"[Away] It is also a manageable 7.5 lb and narrower than several other options at 14.4 inches wide, based on the listed exterior measurements. [Away] RIMOWA is the best lightweight-steering alternative because it weighs only 4.9 lb and has a Multiwheel system with ball-bearing mounted wheels, cushioned axles, and a three-stage telescopic handle for stable, effortless steering and smooth manoeuvrability.","For easiest movement through airports, streets, and crowded spaces, I would choose Away as the most balanced option because its page directly mentions an easy-grip handle for moving through busy travel spaces, an underside grab handle for lifting and stowing, and premium 360° smooth-gliding wheels for navigating busy airports or cobblestone streets."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,original_2023_2024,1,5,1-5,3,BR,1,1,5.0,0.2,5,0.2,0.2,4,0.4,0,1,1,7.0,0.14285714285714285,0.14285714285714285,4,0.4,4,0,,0,0.0,0.06353184887173624,1.0,0.28603970310768057,0.0,0,0,179,Away > Away > Rimowa > July > BR,[Briggs & Riley],"Briggs & Riley has robust 360° shock-absorbing spinner wheels, but at 10 lb it is the heaviest option in the provided pages."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,original_2023_2024,1,5,1-5,3,Century,0,0,,0.0,6,0.0,0.0,6,0.0,0,0,0,,0.0,0.0,6,0.0,6,0,,0,0.0,0.0,0.0,0.0,0.0,0,0,179,Away > Away > Rimowa > July > BR,,
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,original_2023_2024,1,5,1-5,3,July,1,1,4.0,0.25,4,0.4,0.2,3,0.6,0,1,2,4.0,0.25,0.2857142857142857,3,0.6,3,0,durability_protection;tradeoff_or_limitation;weight;wheels_mobility,4,0.21052631578947367,0.042487872723768555,0.09090909090909091,0.19757253467234542,1.0,1,0,179,Away > Away > Rimowa > July > BR,"[July] Briggs & Riley has robust 360° shock-absorbing spinner wheels, but at 10 lb it is the heaviest option in the provided pages.","July is also strong for streets because its SilentMove 360° spinner wheels are described as extremely quiet and able to handle European cobblestones, but it is heavier than RIMOWA at 7.4 lb."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,original_2023_2024,1,5,1-5,3,Rimowa,1,1,3.0,0.3333333333333333,3,0.6,0.2,2,0.8,0,1,3,2.0,0.5,0.42857142857142855,2,0.8,2,0,handle;tradeoff_or_limitation;weight;wheels_mobility,4,0.21052631578947367,0.036892866716916446,0.0,0.19948383650127802,1.0,6,0,179,Away > Away > Rimowa > July > BR,"[RIMOWA] July is also strong for streets because its SilentMove 360° spinner wheels are described as extremely quiet and able to handle European cobblestones, but it is heavier than RIMOWA at 7.4 lb.","RIMOWA is the best lightweight-steering alternative because it weighs only 4.9 lb and has a Multiwheel system with ball-bearing mounted wheels, cushioned axles, and a three-stage telescopic handle for stable, effortless steering and smooth manoeuvrability. July is also strong for streets because its SilentMove 360° spinner wheels are described as extremely quiet and able to handle European cobblestones, but it is heavier than RIMOWA at 7.4 lb."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,geo_rewrite_2023_2024,1,5,1-5,4,Away,1,1,2.0,0.5,2,0.8,0.2,2,0.8,0,1,2,4.0,0.25,0.2,2,0.8,2,0,material_shell;packing_organization,2,0.10526315789473684,0.0208396810423054,0.07692307692307693,0.22009236265920334,1.0,3,0,185,BR > Away > Century > July > Rimowa,"[Away] Hartmann also looks useful for neat packing because it includes a removable garment sleeve, a spacious packing compartment, ample zippered pockets, and nylon tie-down straps.","Away is the best simpler organization pick because it has one compartment for clothes and one for bulkier items like shoes and toiletries, plus a compression pad, three mesh pockets, one hanging pocket, and a water-resistant laundry bag. RIMOWA has a zipped mesh divider and a small zipped interior pocket, but the page describes fewer organization features than Briggs & Riley or Away."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,original_2023_2024,1,5,1-5,4,BR,1,1,1.0,1.0,1,1.0,0.2,1,1.0,1,1,4,1.0,1.0,0.4,1,1.0,1,1,cleaning_care;durability_protection;packing_organization,3,0.15789473684210525,0.06371861330680312,0.075,0.338906003363115,1.0,3,0,185,BR > Away > Century > July > Rimowa,"[Briggs & Riley] Away is the best simpler organization pick because it has one compartment for clothes and one for bulkier items like shoes and toiletries, plus a compression pad, three mesh pockets, one hanging pocket, and a water-resistant laundry bag.","Briggs & Riley seems best for packing organization because it combines CX one-touch expansion and compression, a built-in crease-reducing garment folder, premium cinch-down garment panels, two mesh-lid zip pockets, a flat packing surface from the Outsider handle, a large front pocket, a security-checkpoint exterior pocket, and a PowerPocket for a battery pack and phone. RIMOWA has a zipped mesh divider and a small zipped interior pocket, but the page describes fewer organization features than Briggs & Riley or Away."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,original_2023_2024,1,5,1-5,4,Century,1,1,3.0,0.3333333333333333,3,0.6,0.2,3,0.6,0,1,1,5.0,0.2,0.1,3,0.6,3,0,packing_organization;tradeoff_or_limitation,2,0.10526315789473684,0.02485107796214293,0.0,0.17602284717137595,0.3333333333333333,2,1,185,BR > Away > Century > July > Rimowa,"[Hartmann] July provides compression and laundry separation through its Y-Strap compression system and hidden odour-proof laundry bag, but the page does not mention small-item pockets or shoe-specific compartments.","Hartmann also looks useful for neat packing because it includes a removable garment sleeve, a spacious packing compartment, ample zippered pockets, and nylon tie-down straps."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,original_2023_2024,1,5,1-5,4,July,1,1,4.0,0.25,4,0.4,0.2,4,0.4,0,1,2,6.0,0.16666666666666666,0.2,4,0.4,4,0,dimensions;packing_organization;tradeoff_or_limitation,3,0.15789473684210525,0.017376937402008703,0.041666666666666664,0.17463766818215615,-1.0,0,1,185,BR > Away > Century > July > Rimowa,"[July] RIMOWA has a zipped mesh divider and a small zipped interior pocket, but the page describes fewer organization features than Briggs & Riley or Away.","July provides compression and laundry separation through its Y-Strap compression system and hidden odour-proof laundry bag, but the page does not mention small-item pockets or shoe-specific compartments."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,original_2023_2024,1,5,1-5,4,Rimowa,1,1,5.0,0.2,5,0.2,0.2,5,0.2,0,1,1,8.0,0.125,0.1,5,0.2,5,0,,0,0.0,0.10056033310850526,0.0,0.14344539995503439,0.0,0,0,185,BR > Away > Century > July > Rimowa,[RIMOWA],"RIMOWA has a zipped mesh divider and a small zipped interior pocket, but the page describes fewer organization features than Briggs & Riley or Away."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,geo_rewrite_2023_2024,1,5,1-5,5,Away,1,1,1.0,1.0,1,1.0,0.2,1,1.0,1,1,1,1.0,1.0,0.2,1,1.0,1,1,dimensions;electronics_convenience;lock_security;overhead_bin_or_airline_fit;warranty_trial_return,5,0.2631578947368421,0.08333560395047049,0.07692307692307693,0.3641704946092574,0.7142857142857143,6,1,264,Away > July > BR > Century > Rimowa,"[Away] July is also very confidence-inspiring because it lists a 45-inch total linear dimension approved to fit as carry-on for Australian and international standards, an ejectable battery approved for flying across major airlines, an integrated TSA lock, 100-day returns for unpersonalised items, and a lifetime warranty on manufacturing faults.","For overall purchase confidence, Away gives the strongest all-around balance because the page says it fits overhead on most major airlines and in the overhead bin of almost any flight, includes a TSA-approved combination lock, offers free returns and exchanges on unused items for the first 100 days, and has a limited warranty covering functional elements such as the shell, wheels, handles, and zippers."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,original_2023_2024,1,5,1-5,5,BR,1,1,3.0,0.3333333333333333,3,0.6,0.2,3,0.6,0,1,1,3.0,0.3333333333333333,0.2,3,0.6,3,0,dimensions;electronics_convenience;expansion;lock_security;overhead_bin_or_airline_fit;tradeoff_or_limitation;warranty_trial_return,7,0.3684210526315789,0.04755912699667355,0.04878048780487805,0.24051310909638218,0.25,5,3,264,Away > July > BR > Century > Rimowa,"[Briggs & Riley] Hartmann has a TSA lock, 1.5-inch expansion, a USB port, and a limited 10-year global warranty, but its own page warns that carry-on allowances vary by airline and that an overstuffed bag may not be accepted.","Briggs & Riley has the best warranty language, with free repairs for broken or damaged bags, no proof of purchase needed, and no questions asked, and it includes a TSA-approved combination cable lock; the main travel limitation is that the page positions it as an ultimate domestic carry-on and lists an expanded depth of 11.5 inches, even though it compresses for an easy fit in most US overhead bins."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,original_2023_2024,1,5,1-5,5,Century,1,1,4.0,0.25,4,0.4,0.2,4,0.4,0,1,1,4.0,0.25,0.2,4,0.4,4,0,lock_security;overhead_bin_or_airline_fit;tradeoff_or_limitation;warranty_trial_return,4,0.21052631578947367,0.047642857607399114,0.06896551724137931,0.19531199559891477,-0.2,2,3,264,Away > July > BR > Century > Rimowa,"[Hartmann] RIMOWA has TSA-approved locks, a lifetime guarantee, and a 30-day return period, but the provided page does not state that it fits specific airline carry-on limits.","Hartmann has a TSA lock, 1.5-inch expansion, a USB port, and a limited 10-year global warranty, but its own page warns that carry-on allowances vary by airline and that an overstuffed bag may not be accepted."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,original_2023_2024,1,5,1-5,5,July,1,1,2.0,0.5,2,0.8,0.2,2,0.8,0,1,1,2.0,0.5,0.2,2,0.8,2,0,dimensions;lock_security;overhead_bin_or_airline_fit;tradeoff_or_limitation;warranty_trial_return,5,0.2631578947368421,0.05705449825430131,0.04225352112676056,0.2537138401005761,0.75,7,1,264,Away > July > BR > Century > Rimowa,"[July] Briggs & Riley has the best warranty language, with free repairs for broken or damaged bags, no proof of purchase needed, and no questions asked, and it includes a TSA-approved combination cable lock; the main travel limitation is that the page positions it as an ultimate domestic carry-on and lists an expanded depth of 11.5 inches, even though it compresses for an easy fit in most US overhead bins.","July is also very confidence-inspiring because it lists a 45-inch total linear dimension approved to fit as carry-on for Australian and international standards, an ejectable battery approved for flying across major airlines, an integrated TSA lock, 100-day returns for unpersonalised items, and a lifetime warranty on manufacturing faults."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_1.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_1.txt,one_product_geo_rewrite,Away,original_2023_2024,1,5,1-5,5,Rimowa,1,1,5.0,0.2,5,0.2,0.2,5,0.2,0,1,1,5.0,0.2,0.2,5,0.2,5,0,,0,0.0,0.10056033310850526,0.0,0.14344539995503439,0.0,1,1,264,Away > July > BR > Century > Rimowa,[RIMOWA],"RIMOWA has TSA-approved locks, a lifetime guarantee, and a 30-day return period, but the provided page does not state that it fits specific airline carry-on limits."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_11.txt,one_product_geo_rewrite,Away,geo_rewrite_2023_2024,11,15,11-15,11,Away,1,1,1.0,1.0,1,1.0,0.2,1,1.0,1,1,2,1.0,1.0,0.25,1,1.0,1,1,dimensions;overhead_bin_or_airline_fit;wheels_mobility,3,0.15789473684210525,0.06582400738226545,0.12727272727272726,0.34716799126911657,1.0,6,0,245,Away > July > BR > Century > Rimowa,"[Away] July also gives strong fit language, saying the Carry On is designed to hold the maximum amount allowed inside the cabin, has 45 total linear inches, and is approved to fit as carry-on for all Australian and International standards; its external dimensions are 21.5"" H x 15"" W x 8.5"" D including wheels.","The safest options based on airline-fit language are Away and July. Away says The Carry-On is its smallest suitcase, is sized to fit in all overhead bins, meets carry-on requirements for most major airlines, and will fit in the overhead bin of almost any flight; its exterior measurements are 21.7"" x 14.4"" x 9"" including wheels."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_11.txt,one_product_geo_rewrite,Away,original_2023_2024,11,15,11-15,11,BR,1,1,3.0,0.3333333333333333,3,0.6,0.2,3,0.6,0,1,2,5.0,0.2,0.25,3,0.6,3,0,expansion;overhead_bin_or_airline_fit;tradeoff_or_limitation,3,0.15789473684210525,0.057631674629195356,0.16216216216216217,0.21742960661858446,0.3333333333333333,2,1,245,Away > July > BR > Century > Rimowa,"[Briggs & Riley] Hartmann has possible size limitations because it is 22"" x 14"" x 9"", expands 1.5"", and the page warns that carry-on allowances vary by airline and that an overstuffed bag may not be accepted.","Briggs & Riley looks relatively safe only when compressed, because the page says its CX system compresses for an easy fit in most U.S."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_11.txt,one_product_geo_rewrite,Away,original_2023_2024,11,15,11-15,11,Century,1,1,4.0,0.25,4,0.4,0.2,4,0.4,0,1,1,7.0,0.14285714285714285,0.125,4,0.4,4,0,dimensions;overhead_bin_or_airline_fit;tradeoff_or_limitation,3,0.15789473684210525,0.02474299311236082,0.0,0.16986087932422655,-0.3333333333333333,1,2,245,Away > July > BR > Century > Rimowa,"[Hartmann] RIMOWA gives exact measurements of 21.7"" x 15.8"" x 9.1"" but does not provide airline-fit language, so its wider 15.8"" width and 9.1"" depth should be double-checked against stricter airline rules before purchase.","Hartmann has possible size limitations because it is 22"" x 14"" x 9"", expands 1.5"", and the page warns that carry-on allowances vary by airline and that an overstuffed bag may not be accepted."
02_2023_2024_original_vs_2023_2024_geo_rewrite,one_product_geo,away_11.txt,C:\Users\junse\Documents\research\Finance Research\GEO_carry-on\supplementary_check\results\shopping_answers\02_2023_2024_original_vs_2023_2024_geo_rewrite\away_11.txt,one_product_geo_rewrite,Away,original_2023_2024,11,15,11-15,11,July,1,1,2.0,0.5,2,0.8,0.2,2,0.8,0,1,2,2.0,0.5,0.25,2,0.8,2,0,expansion,1,0.05263157894736842,0.03979509346732948,0.0,0.20181866781627295,1.0,6,0,245,Away > July > BR > Century > Rimowa,"[July]

Briggs & Riley looks relatively safe only when compressed, because the page says its CX system compresses for an easy fit in most U.S.","The safest options based on airline-fit language are Away and July. July also gives strong fit language, saying the Carry On is designed to hold the maximum amount allowed inside the cabin, has 45 total linear inches, and is approved to fit as carry-on for all Australian and International standards; its external dimensions are 21.5"" H x 15"" W x 8.5"" D including wheels."
